001808,银华互联网主题灵活配置混合,YHHLWZTLHPZHH,2017-11-10,0.9990,0.9990,2.5667,6.9593,11.9955,19.2124,27.4235,20.7981,,,29.0698,-0.10,2015-11-18,1,20.6522,1.50%,0.15%,1,0.15%,1,
001663,中银互联网+股票,ZYHLWGP,2017-11-10,1.1550,1.1550,3.3095,6.9444,13.4578,20.9424,30.9524,25.9542,3.4020,,31.25,15.50,2015-08-06,1,26.9231,1.50%,0.15%,1,0.15%,1,
004476,景顺长城沪港深领先科技,JSCCHGSLXKJ,2017-11-10,1.1550,1.1550,1.7621,6.9444,7.3420,15.1545,,,,,,15.50,2017-07-07,1,15.5,1.50%,0.15%,1,0.15%,1,
001938,中欧时代先锋股票A,ZOSDXFGPA,2017-11-10,1.3523,1.7083,2.4936,6.9097,7.2318,11.1175,32.9185,45.2155,82.1877,,42.4436,85.6493,2015-11-03,1,42.6060,1.50%,0.15%,1,0.15%,1,
000969,前海开源大安全混合,QHKYDAQHH,2017-11-10,1.1930,1.1930,2.2279,6.8996,11.0801,17.6529,21.7347,2.7562,-3.5570,,3.9199,19.30,2015-02-06,1,2.7562,1.50%,0.15%,1,0.15%,1,
519772,交银新生活力灵活配置混合,JYXSHLLHPZHH,2017-11-10,1.4750,1.4750,1.0274,6.8841,13.3743,37.4651,48.8396,,,,50.9724,47.50,2016-11-11,1,,1.50%,0.15%,1,0.15%,1,
004997,广发高端制造股票,GFGDZZGP,2017-11-10,1.1013,1.1013,2.6088,6.8705,9.7787,,,,,,,10.1190,2017-09-01,1,10.119,1.50%,0.15%,1,0.15%,1,
020023,国泰事件驱动策略混合,GTSJQDCLHH,2017-11-10,2.8970,2.8970,2.6577,6.8609,13.3412,19.0711,31.7417,38.0181,33.3180,93.9090,41.1106,189.70,2011-08-17,1,37.8867,1.50%,0.15%,1,0.15%,1,189.70
217012,招商行业领先混合A,ZSHYLXHHA,2017-11-10,1.5920,1.8920,3.1756,6.8456,14.45,23.6024,42.9085,34.0067,1.0152,59.7792,41.0097,96.6882,2009-06-19,1,30.4918,1.50%,0.15%,1,0.15%,1,133.3193
001410,信达澳银新能源产业股票,XDAYXNYCYGP,2017-11-10,1.6310,1.6310,1.3673,6.8107,4.0179,20.9941,41.3345,45.4951,47.2022,,52.8585,63.10,2015-07-31,1,44.7205,1.50%,0.15%,1,0.15%,1,
000167,广发聚优灵活配置混合A,GFJYLHPZHHA,2017-11-10,1.4520,1.6620,2.5424,6.7647,15.0555,20.1987,31.6152,38.4579,4.1820,49.7730,41.6805,70.4417,2013-09-11,1,37.6750,1.50%,0.15%,1,0.15%,1,
001152,融通新区域新经济灵活配置混合,RTXQYXJJLHPZHH,2017-11-10,0.5840,0.5840,2.0979,6.7642,5.0360,11.6635,16.1034,0.3436,-20.9743,,11.0266,-41.60,2015-05-20,1,1.9197,1.50%,0.15%,1,0.15%,1,
020026,国泰成长优选混合,GTCZYXHH,2017-11-10,3.4090,3.9310,2.6189,6.7314,12.3229,23.56,37.1347,53.0661,75.3702,163.1699,55.1871,310.4503,2012-03-20,1,55.1871,1.50%,0.15%,1,0.15%,1,344.6915
002863,金信深圳成长混合发起式,JXSZCZHHFQS,2017-11-10,1.1290,1.1290,2.4501,6.7108,3.0109,7.7290,16.9948,,,,13.1263,12.90,2016-12-22,1,12.9,1.50%,0.15%,1,0.15%,1,
680001,浙商聚潮策略配置混合,ZSJCCLPZHH,2017-11-10,1.1930,1.1930,-0.0838,6.7084,6.2333,11.4953,12.2295,12.1241,17.6529,,13.2953,19.30,2015-05-04,1,12.1241,1.50%,0.15%,1,0.15%,1,
260115,景顺长城中小盘混合,JSCCZXPHH,2017-11-10,1.2430,1.8030,1.3866,6.6953,7.9931,18.0437,24.6740,19.1266,10.0567,64.7107,23.0693,93.6998,2011-03-22,1,18.7614,1.50%,0.15%,1,0.15%,1,157.5795
519665,银河美丽混合C,YHMLHHC,2017-11-10,2.2190,2.2190,3.2093,6.6827,13.3878,21.5890,38.7742,37.2294,14.7957,100.0902,48.1308,121.90,2014-05-29,1,34.8117,0.00%,0.00%,,0.00%,0,
000522,华润元大信息传媒科技混合,HRYDXXCMKJHH,2017-11-10,1.8520,1.8520,2.3204,6.6820,16.1129,20.7301,30.0562,22.5678,-1.7507,70.5341,28.9694,85.20,2014-03-31,1,22.0026,1.50%,0.15%,1,0.15%,1,
519664,银河美丽混合A,YHMLHHA,2017-11-10,2.2870,2.2870,3.2040,6.6698,13.4425,21.8434,39.3662,38.4383,16.7432,105.6655,49.2820,128.70,2014-05-29,1,36.0500,1.50%,0.15%,1,0.15%,1,
320012,诺安主题精选混合,NAZTJXHH,2017-11-10,1.9230,2.0230,1.7460,6.6556,9.1373,21.4782,23.1114,21.0195,16.5454,67.6548,24.1446,110.9518,2010-09-15,1,21.7860,1.50%,0.15%,1,0.15%,1,161.4025
002450,平安大华睿享文娱混合A,PADHRXWYHHA,2017-11-10,1.2020,1.2020,2.6473,6.6548,9.9726,17.0399,26.3933,22.0305,,,28.2818,20.20,2016-03-29,1,22.5280,1.50%,0.15%,1,0.15%,1,
161606,融通行业景气,RTHYJQ,2017-11-10,1.1090,3.0490,0.9099,6.6346,3.7418,7.2534,20.1517,-0.7162,-5.0514,45.9211,9.3688,277.7381,2004-04-29,1,-4.7251,1.50%,0.15%,1,0.15%,1,74.6456
519176,浦银安盛消费升级混合C,PYASXFSJHHC,2017-11-10,1.8170,1.8170,2.0787,6.6315,2.5974,8.7373,28.3192,9.1947,,,14.0615,30.7194,2016-01-21,1,7.7698,1.50%,0.15%,1,0.15%,1,
000823,银华高端制造业,YHGDZZY,2017-11-10,0.9810,0.9810,1.5528,6.6304,12.2426,21.8634,26.5806,22.4719,-10.6557,,27.0725,-1.90,2014-11-13,1,22.4719,1.50%,0.15%,1,0.15%,1,
519125,浦银安盛消费升级混合A,PYASXFSJHHA,2017-11-10,1.8220,1.8220,2.0157,6.6121,2.5901,8.4524,28.0394,9.1672,5.6232,43.6909,13.9462,82.20,2013-12-04,1,7.7469,1.50%,0.15%,1,0.15%,1,
002692,富国创新科技混合,FGCXKJHH,2017-11-10,1.1790,1.1790,1.3758,6.6004,8.4637,25.0265,32.7703,25.1592,,,38.8693,17.90,2016-06-16,1,24.3671,1.50%,0.15%,1,0.15%,1,
002451,平安大华睿享文娱混合C,PADHRXWYHHC,2017-11-10,1.1830,1.1830,2.6019,6.5766,9.8422,16.7818,25.9851,21.0850,,,27.4784,18.30,2016-03-29,1,21.5827,,0.00%,,,,
340006,兴全全球视野股票,XQQQSYGP,2017-11-10,1.7067,4.4527,2.3140,6.5289,7.8347,11.7682,11.1495,-4.3491,-9.8926,51.3535,1.8196,543.1490,2006-09-20,1,-4.3866,1.50%,0.15%,1,0.15%,1,110.2288
