fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000010,易方达天天理财货币B,0.36%,1.07%,2.18%,4.05%,11.78%,21.08%
000009,易方达天天理财货币A,0.33%,1.01%,2.06%,3.80%,10.98%,19.73%
000001,华夏成长,4.25%,9.63%,15.29%,12.59%,21.93%,539.29%
000003,中海可转债A,-0.61%,-0.61%,6.13%,-5.57%,-16.56%,-4.30%
000008,嘉实中证500ETF联接,-0.95%,4.17%,10.17%,4.07%,30.33%,81.21%
000007,鹏华国企债债券,1.04%,1.77%,2.78%,-6.63%,4.81%,16.25%
000004,中海可转债C,-0.85%,-0.85%,5.84%,-6.10%,-15.99%,-4.06%
000005,嘉实增强信用定期债券,0.00%,0.60%,2.41%,1.12%,14.72%,21.89%
